lambda,c,clicks,CTR,cost,avg CPM,eCPC
7.000000000000001e-05,600,165,0.13134851138353765,5993.7250000023805,47.713142811673144,36.32560606062049
7.000000000000001e-05,610,165,0.13127849340027212,6000.0720000023875,47.73820681536187,36.364072727287194
7.000000000000001e-05,620,165,0.13120541997662158,6005.764000002394,47.75689623641144,36.398569696984204
7.000000000000001e-05,630,165,0.1311407657031132,6011.889000002392,47.78204404742044,36.4356909091054
7.000000000000001e-05,640,165,0.13106888662938485,6019.31000000239,47.81480363499611,36.48066666668115
7.000000000000001e-05,650,165,0.1310002064245677,6025.341000002389,47.837631198710554,36.51721818183266
7.000000000000001e-05,660,165,0.13092120923589623,6032.0130000023955,47.86172339920967,36.55765454546906
7.000000000000001e-05,670,165,0.1308661754558505,6037.1660000024,47.88247424317632,36.5888848484994
7.000000000000001e-05,680,165,0.13080600280638333,6042.5760000024065,47.90334625539997,36.62167272728731
7.000000000000001e-05,690,165,0.13075002971591584,6046.716000002408,47.91565434448598,36.64676363637823
7.000000000000001e-05,700,165,0.13068789354877033,6053.049000002409,47.94304383986701,36.68514545456006
7.000000000000001e-05,710,165,0.1306103063405367,6060.598000002415,47.97433705376723,36.7308969697116
7.000000000000001e-05,720,165,0.13052455048135872,6067.652000002416,47.99863938046257,36.77364848486312
7.000000000000001e-05,730,165,0.13046159684994546,6072.859000002418,48.01665955059868,36.80520606062071
7.000000000000001e-05,740,165,0.13039664287915786,6078.92200000242,48.04066794694374,36.84195151516618
7.000000000000001e-05,750,165,0.13032351826108934,6086.684000002421,48.07503475295732,36.888993939408614
7.000000000000001e-05,760,165,0.13027001421127427,6091.182000002426,48.090810042652976,36.91625454546925
7.000000000000001e-05,770,165,0.13021038842153443,6096.640000002426,48.11187045251997,36.94933333334804
7.000000000000001e-05,780,165,0.13015287046239765,6102.357000002427,48.13571394767403,36.98398181819653
7.000000000000001e-05,790,165,0.13009642905013838,6107.278000002427,48.15363994041132,37.013806060620766
7.000000000000001e-05,800,165,0.1300482360730162,6112.147000002431,48.17417793753295,37.04331515152988
7.000000000000001e-05,810,165,0.12999086124854253,6117.7400000024345,48.19698736333182,37.07721212122688
7.000000000000001e-05,820,165,0.1299396764895812,6122.172000002436,48.21291206629629,37.104072727287495
7.000000000000001e-05,830,165,0.12989773505585603,6126.8200000024335,48.233941884559755,37.13224242425717
7.000000000000001e-05,840,165,0.12985173293039948,6130.730000002431,48.247631189618396,37.15593939395413
7.000000000000001e-05,850,165,0.12981495468277945,6133.528000002431,48.25597935550754,37.17289696971171
7.000000000000001e-05,860,165,0.12976799056232796,6138.3450000024295,48.27640581991687,37.202090909105635
7.000000000000001e-05,870,165,0.12973329978613662,6141.523000002426,48.288487545622296,37.22135151516622
7.000000000000001e-05,880,165,0.12969047207331835,6145.090000002429,48.300583214141994,37.24296969698442
7.000000000000001e-05,890,165,0.12964461660551108,6149.954000002431,48.32172293768754,37.27244848486322
7.000000000000001e-05,900,165,0.12960693750589122,6154.121000002426,48.3404106576368,37.297703030317734
7.000000000000001e-05,910,165,0.12955503733540621,6158.795000002431,48.357752494935035,37.32603030304504
7.000000000000001e-05,920,165,0.12951944361586887,6162.138000002434,48.370708196637466,37.34629090910566
7.000000000000001e-05,930,165,0.1294777729823047,6166.110000002433,48.38631459177175,37.37036363637838
7.000000000000001e-05,940,165,0.129446283714873,6169.061000002435,48.397698209737776,37.38824848486325
7.000000000000001e-05,950,165,0.12941074971961003,6172.186000002436,48.4089222829816,37.407187878802645
7.000000000000001e-05,960,165,0.12938335110720783,6174.471000002437,48.416590866338666,37.42103636365113
7.000000000000001e-05,970,165,0.12934278188887496,6178.505000002446,48.43303179482665,37.445484848499675
7.000000000000001e-05,980,166,0.13009812219818803,6181.054000002449,48.4423806389107,37.23526506025572
7.000000000000001e-05,990,166,0.13006550286770927,6183.8320000024505,48.452001128298264,37.25200000001476
7.000000000000001e-05,1000,166,0.13004003039489867,6185.940000002452,48.45902563983966,37.26469879519549
7.000000000000001e-05,1010,166,0.1299992951845442,6189.6700000024575,48.47305647139982,37.2871686747136
7.000000000000001e-05,1020,166,0.12997486630597338,6192.552000002455,48.48651315018718,37.30453012049672
7.000000000000001e-05,1030,166,0.1299524812312606,6194.709000002458,48.49504849734582,37.31752409640035
7.000000000000001e-05,1040,166,0.12992705300397608,6197.987000002461,48.51121599200449,37.337271084352174
7.000000000000001e-05,1050,166,0.12990265126615957,6200.218000002459,48.51956365231836,37.350710843388306
7.000000000000001e-05,1060,166,0.12986606584053073,6204.217000002458,48.5371839404373,37.374801204834085
7.000000000000001e-05,1070,166,0.12983965584669535,6207.178000002461,48.550473210813145,37.392638554231695
7.000000000000001e-05,1080,166,0.12982036302778624,6208.990000002463,48.557429869651465,37.403554216882306
7.000000000000001e-05,1090,166,0.12979194195329055,6211.812000002465,48.56886400777551,37.420554216882316
7.000000000000001e-05,1100,166,0.1297615046080968,6214.74900000247,48.58043259048105,37.438246987966686
7.000000000000001e-05,1110,166,0.12973513712066148,6216.932000002472,48.58762201747886,37.45139759037634
7.000000000000001e-05,1120,166,0.1297128345379957,6219.384000002473,48.59842938075775,37.46616867471369
7.000000000000001e-05,1130,166,0.12968547366447397,6222.1940000024715,48.610131091721,37.483096385557054
7.000000000000001e-05,1140,166,0.1296652137913796,6223.955000002477,48.61629251224382,37.493704819292034
7.000000000000001e-05,1150,166,0.12964799787564726,6226.11700000248,48.626723107822464,37.50672891567759
7.000000000000001e-05,1160,166,0.1296216764924062,6229.076000002485,48.63995627222492,37.524554216882436
7.000000000000001e-05,1170,166,0.12960447213503848,6230.264000002484,48.642775721822616,37.53171084338846
7.000000000000001e-05,1180,166,0.1295872723440464,6232.1020000024855,48.65066862350593,37.5427831325451
7.000000000000001e-05,1190,166,0.12955794205794205,6235.0220000024865,48.662446928091335,37.56037349399088
7.000000000000001e-05,1200,166,0.1295377220089272,6237.007000002492,48.670342104461184,37.57233132531621
7.000000000000001e-05,1210,166,0.1295175082703951,6239.2480000024925,48.680232195263194,37.58583132531622
7.000000000000001e-05,1220,166,0.1294942702685836,6241.83400000249,48.69167102216607,37.601409638569216
7.000000000000001e-05,1230,166,0.12947810961959955,6243.31900000249,48.69717722123199,37.61035542170175
7.000000000000001e-05,1240,166,0.12946094334913902,6245.145000002491,48.70496162966754,37.62135542170175
7.000000000000001e-05,1250,166,0.12944680983795756,6246.81700000249,48.7126826681833,37.631427710858375
7.000000000000001e-05,1260,166,0.12942359719634183,6248.977000002489,48.720788080573904,37.64443975905114
7.000000000000001e-05,1270,166,0.1294114895574283,6249.866000002489,48.72316075871375,37.64979518073789
7.000000000000001e-05,1280,166,0.12941956106498265,6250.097000002486,48.728000623728114,37.65118674700293
7.000000000000001e-05,1290,166,0.1294387349313039,6250.011000002488,48.73454922572625,37.650668674713785
7.000000000000001e-05,1300,166,0.12945185716625207,6250.133000002486,48.74044122809641,37.65140361447281
7.000000000000001e-05,1310,166,0.1294629626741121,6250.0620000024865,48.744068880554714,37.65097590362944
7.000000000000001e-05,1320,166,0.12948719948829157,6250.062000002486,48.753194277621226,37.65097590362943
7.000000000000001e-05,1330,166,0.12949326010983525,6250.049000002486,48.75537475039383,37.65089759037642
7.000000000000001e-05,1340,166,0.12950033155205368,6250.131000002487,48.75867691229463,37.65139156628004
7.000000000000001e-05,1350,166,0.12952559300873906,6250.02100000248,48.76732990014419,37.65072891567759
7.000000000000001e-05,1360,165,0.1287704374292738,6250.012000002483,48.77677449566849,37.878860606075655
7.000000000000001e-05,1370,165,0.12880461510839103,6250.021000002479,48.789790868162456,37.87891515153017
7.000000000000001e-05,1380,164,0.12803797418941815,6250.050000002484,48.79535003554213,38.110060975624904
7.000000000000001e-05,1390,164,0.12805097053266082,6250.0690000024815,48.80045130161064,38.110176829283425
7.000000000000001e-05,1400,164,0.12806896982570126,6250.028000002478,48.806990691591785,38.1099268292834
7.000000000000001e-05,1410,164,0.1280819724623759,6250.076000002477,48.812320860980115,38.11021951221022
7.000000000000001e-05,1420,164,0.1280919762873634,6250.038000002475,48.81583654216081,38.109987804893144
7.000000000000001e-05,1430,164,0.1281029822999172,6250.039000002477,48.82003874336034,38.10999390245413
7.000000000000001e-05,1440,164,0.12811298940724306,6250.015000002481,48.823664968928554,38.109847560990744
7.000000000000001e-05,1450,164,0.12813000507832337,6250.032000002481,48.83028243292692,38.109951219527325
7.000000000000001e-05,1460,164,0.12814602395705546,6250.083000002487,48.83678572267706,38.11026219513712
7.000000000000001e-05,1470,164,0.1281590422455965,6250.009000002485,48.8411687479681,38.10981097562491
7.000000000000001e-05,1480,164,0.12817406663488368,6250.033000002483,48.8470820861305,38.109957317088316
7.000000000000001e-05,1490,164,0.12817306489933725,6250.245000002482,48.848357196468065,38.11125000001513
7.000000000000001e-05,1500,164,0.12818809257681515,6250.086000002481,48.852841633010634,38.110280487820006
